3840.0 0.0
3850.0 0.0001
3860.0 0.0001
3870.0 0.0001
3880.0 0.0001
3890.0 0.0001
3900.0 0.0001
3910.0 0.0003
3920.0 0.0004
3930.0 0.0008
3940.0 0.0023
3950.0 0.0058
3960.0 0.0127
3970.0 0.0256
3980.0 0.0505
3990.0 0.0969
4000.0 0.163
4010.0 0.2274
4020.0 0.2693
4030.0 0.2885
4040.0 0.2966
4050.0 0.3018
4060.0 0.3062
4070.0 0.3113
4080.0 0.3181
4090.0 0.3227
4100.0 0.3282
4110.0 0.3329
4120.0 0.3381
4130.0 0.3416
4140.0 0.3459
4150.0 0.3507
4160.0 0.3556
4170.0 0.3602
4180.0 0.3647
4190.0 0.37
4200.0 0.3749
4210.0 0.3776
4220.0 0.3815
4230.0 0.3855
4240.0 0.3894
4250.0 0.3948
4260.0 0.3965
4270.0 0.4
4280.0 0.4016
4290.0 0.4041
4300.0 0.409
4310.0 0.4146
4320.0 0.4203
4330.0 0.4242
4340.0 0.4283
4350.0 0.4319
4360.0 0.435
4370.0 0.4383
4380.0 0.4411
4390.0 0.4451
4400.0 0.4496
4410.0 0.4528
4420.0 0.4551
4430.0 0.4589
4440.0 0.4622
4450.0 0.4648
4460.0 0.4693
4470.0 0.4728
4480.0 0.4754
4490.0 0.4791
4500.0 0.4819
4510.0 0.4847
4520.0 0.486
4530.0 0.4887
4540.0 0.4927
4550.0 0.4958
4560.0 0.4992
4570.0 0.5023
4580.0 0.5057
4590.0 0.5082
4600.0 0.5117
4610.0 0.5132
4620.0 0.5147
4630.0 0.5165
4640.0 0.5178
4650.0 0.5191
4660.0 0.5214
4670.0 0.5242
4680.0 0.5265
4690.0 0.5293
4700.0 0.5315
4710.0 0.5336
4720.0 0.5348
4730.0 0.5364
4740.0 0.5372
4750.0 0.5371
4760.0 0.5389
4770.0 0.5404
4780.0 0.5432
4790.0 0.5465
4800.0 0.5484
4810.0 0.5495
4820.0 0.5517
4830.0 0.5531
4840.0 0.5537
4850.0 0.556
4860.0 0.556
4870.0 0.5572
4880.0 0.5616
4890.0 0.5631
4900.0 0.5649
4910.0 0.5666
4920.0 0.5666
4930.0 0.568
4940.0 0.569
4950.0 0.5711
4960.0 0.5727
4970.0 0.5741
4980.0 0.5754
4990.0 0.5801
5000.0 0.5835
5010.0 0.5857
5020.0 0.5871
5030.0 0.5867
5040.0 0.5865
5050.0 0.5861
5060.0 0.5875
5070.0 0.5894
5080.0 0.5928
5090.0 0.5959
5100.0 0.597
5110.0 0.5983
5120.0 0.5991
5130.0 0.6006
5140.0 0.6019
5150.0 0.603
5160.0 0.6043
5170.0 0.6065
5180.0 0.608
5190.0 0.6086
5200.0 0.6102
5210.0 0.6121
5220.0 0.6139
5230.0 0.6146
5240.0 0.6151
5250.0 0.6144
5260.0 0.6169
5270.0 0.6187
5280.0 0.6186
5290.0 0.6215
5300.0 0.6221
5310.0 0.6222
5320.0 0.6238
5330.0 0.6255
5340.0 0.6283
5350.0 0.633
5360.0 0.6333
5370.0 0.6344
5380.0 0.637
5390.0 0.6382
5400.0 0.6381
5410.0 0.6349
5420.0 0.624
5430.0 0.5994
5440.0 0.5523
5450.0 0.4841
5460.0 0.3991
5470.0 0.3081
5480.0 0.2239
5490.0 0.1532
5500.0 0.0987
5510.0 0.059
5520.0 0.0329
5530.0 0.0174
5540.0 0.0092
5550.0 0.0051
5560.0 0.0032
5570.0 0.0022
5580.0 0.0016
5590.0 0.0012
5600.0 0.001
5610.0 0.0007
5620.0 0.0005
5630.0 0.0003
5640.0 0.0003
5650.0 0.0002
5660.0 0.0002
5670.0 0.0002
5680.0 0.0002
5690.0 0.0002
5700.0 0.0001
