8280.0 0.0061
8300.0 0.0034
8320.0 0.004
8340.0 0.0045
8360.0 0.0056
8380.0 0.0089
8400.0 0.021
8420.0 0.0333
8440.0 0.0544
8460.0 0.0824
8480.0 0.1281
8500.0 0.1891
8520.0 0.2546
8540.0 0.3355
8560.0 0.4037
8580.0 0.4649
8600.0 0.5147
8620.0 0.5471
8640.0 0.5697
8660.0 0.5809
8680.0 0.5872
8700.0 0.5888
8720.0 0.5897
8740.0 0.5902
8760.0 0.5902
8780.0 0.591
8800.0 0.5901
8820.0 0.5883
8840.0 0.5864
8860.0 0.5876
8880.0 0.5874
8900.0 0.5853
8920.0 0.5845
8940.0 0.577
8960.0 0.5627
8980.0 0.5424
9000.0 0.5335
9020.0 0.5416
9040.0 0.5564
9060.0 0.5466
9080.0 0.5276
9100.0 0.5348
9120.0 0.5416
9140.0 0.5336
9160.0 0.5326
9180.0 0.5228
9200.0 0.5299
9220.0 0.5135
9240.0 0.4886
9260.0 0.4487
9280.0 0.3889
9300.0 0.3104
9320.0 0.2159
9340.0 0.1541
9360.0 0.1108
9380.0 0.0766
9400.0 0.057
9420.0 0.033
9440.0 0.0176
9460.0 0.0111
9480.0 0.0074
9500.0 0.0038
9520.0 0.0021
9540.0 0.0012
9560.0 0.0001
