u,redshift,g,r,i,z,Y
0.048981420910626475,0.01,0.16714456885411721,0.3377170987939905,0.4634182626965449,0.620434928766159,0.712620747445117
0.048879485918054105,0.011,0.16674050402583626,0.3375552193256769,0.46332577701686156,0.6197660845644113,0.712161681257225
0.04878078320170449,0.011999999999999999,0.16634031208276268,0.33737551989732556,0.46323696459223035,0.6190994316237884,0.7116878169247289
0.04868402753182849,0.012999999999999998,0.1659428594254823,0.3371785547527138,0.4631463643960084,0.6184363073531783,0.711202017815073
0.048587140917483576,0.013999999999999997,0.16554530863755454,0.33696579289588746,0.4630457483547741,0.6177685751133033,0.7107033567737978
0.048488454415421954,0.014999999999999996,0.1651465028780741,0.33674196985687316,0.4629262571450323,0.6171021345952342,0.7102017971351411
0.04838355536132833,0.015999999999999993,0.16474484101421744,0.33651096873332514,0.46278392049645306,0.6164440455905466,0.709710605615822
0.04826829305596055,0.016999999999999994,0.16433772827863294,0.33627535980062634,0.4626163073855711,0.6157969514079022,0.7092274649300957
0.04814047227244168,0.017999999999999995,0.16392562577561068,0.336038600201306,0.4624263120862864,0.6151678755461646,0.7087541599452346
0.047996435139846645,0.018999999999999993,0.16350856106920345,0.3358028401645351,0.46222463405467545,0.6145693978402829,0.708289502860538
0.047834011026386354,0.01999999999999999,0.16308838155167868,0.33556749529793173,0.4620170962590448,0.6140065266518248,0.7078250890814984
0.04765612709310788,0.02099999999999999,0.162667111039203,0.3353349722567775,0.46179778684890166,0.6134743009287279,0.7073583845720738
0.0474651371745055,0.021999999999999992,0.1622459056677417,0.33510785819170874,0.4615611555859369,0.6129696000120396,0.706889713486861
0.047266826971291455,0.02299999999999999,0.16182696875964736,0.33488430216328935,0.4613140643145197,0.612485318794198,0.7064157513605276
0.04706829739926144,0.023999999999999987,0.16141222539179534,0.3346572128374755,0.4610679802886528,0.6120067587003566,0.7059376875955393
0.04687542350808144,0.024999999999999988,0.16100002719255094,0.3344239488418852,0.4608225515506113,0.6115347589071272,0.7054669288755183
0.04669185447656583,0.02599999999999999,0.160588816528946,0.33418666826459026,0.46056674080305393,0.6110746061649442,0.7050049149475923
0.04651965120439925,0.02699999999999999,0.16017653435452192,0.3339463082332244,0.46029336196747145,0.6106240925809403,0.7045507993923344
0.0463584741329793,0.027999999999999983,0.15975888815644504,0.3337039845305786,0.46000106402378105,0.6101894566771933,0.7041139602276083
0.046207799573163025,0.028999999999999984,0.15933378800285566,0.3334629484209028,0.4596861238708626,0.6097773814058299,0.7037116426161101
0.04606511577359036,0.029999999999999985,0.15890257679884504,0.3332233919854847,0.45934743281018625,0.6093813496986109,0.7033462854783709
0.04593057108092757,0.030999999999999986,0.1584661073228036,0.33298341254954067,0.45898696266352684,0.6089953181050687,0.7030199158345238
0.04580415669697636,0.03199999999999998,0.15802839090532192,0.33274136432804435,0.45860867903866004,0.6086272682683125,0.702749746870884
0.045685997528369215,0.03299999999999998,0.15759378366952922,0.3324990728617413,0.45821615490817136,0.6082832673231859,0.7025440211025588
0.045576008384972486,0.03399999999999998,0.1571661034111852,0.3322575685934538,0.4578138832875106,0.6079525568913764,0.7023927082400782
0.04547605985201902,0.03499999999999998,0.1567483916862602,0.33201696645461193,0.45740614285078457,0.6076348980513996,0.7022973639477712
0.045387738659792884,0.035999999999999976,0.15634459100866094,0.33177657083023115,0.4569926763330989,0.6073276819082108,0.7022508662508264
0.04531126252629189,0.03699999999999998,0.15595637606269533,0.33153635775505347,0.45657331260055356,0.6070163376745623,0.7022268953843642
0.0452465778831944,0.03799999999999998,0.15557971464376677,0.3312981506546296,0.4561515837472473,0.6066873377643168,0.7022150179251592
0.045191691109152034,0.03899999999999998,0.15521144008896948,0.3310629942781585,0.4557302879653627,0.6063485128417899,0.70220978076675
0.045144682529785644,0.03999999999999997,0.15484657878366956,0.3308326143626225,0.45531182532441944,0.6060127217893219,0.7022024603841481
0.0451015626243802,0.040999999999999974,0.15448236856042138,0.3306067828211319,0.45489905542066433,0.6056724741800912,0.7021759747258951
0.045059304646552806,0.041999999999999975,0.15411664745910753,0.33038733208063703,0.4544849300919125,0.6053382112937183,0.7021330015350644
0.04501305714076173,0.042999999999999976,0.1537500144985817,0.3301752905264079,0.45405549284880636,0.6050221515476676,0.702083083676665
0.04495724195693448,0.04399999999999998,0.1533819126109032,0.32997003451601,0.4536075621196426,0.604728326341762,0.7020149658394481
0.04488693247681378,0.04499999999999997,0.1530153872689949,0.3297673704961671,0.4531446330065101,0.6044459026156088,0.7019273420392655
0.044796937795836225,0.04599999999999997,0.15265266232187796,0.3295613708814369,0.45266943057973125,0.6041693975529584,0.7018296607398983
0.04468594883081851,0.04699999999999997,0.15229682808204265,0.3293512920591485,0.4521840509941627,0.6038700954807049,0.7017195480247056
0.04455198667283134,0.047999999999999966,0.15195061283406938,0.32913574862474587,0.45168968893093675,0.6035324983561409,0.7015920384754676
0.04439635763386315,0.04899999999999997,0.15161679026198097,0.3289139997029303,0.4511898790713772,0.6031604480449304,0.7014453374476669
0.04422284372731097,0.04999999999999997,0.1512963059238785,0.32868960431371247,0.45069357947593136,0.6027675774346299,0.7012843041064342
0.044035925705529104,0.05099999999999997,0.15098935877027897,0.328464723237782,0.45020886627011897,0.6023511705577721,0.7010907216834383
0.04383900841852843,0.05199999999999997,0.1506959893630448,0.32824161637239097,0.44974400028752215,0.6019144005360337,0.7008573496477565
0.04363594469823487,0.052999999999999964,0.15041569610758634,0.3280213241336353,0.4493087253598124,0.6014649393443963,0.7005861526059715
0.043430035701017194,0.053999999999999965,0.15014685407190445,0.32780555378729187,0.44890547517921264,0.6009992053231793,0.7002709535683517
0.043224159324953486,0.054999999999999966,0.14988804735253355,0.32759359358168655,0.4485328525968646,0.6005128274069597,0.6998980277252671
0.043020750584808747,0.05599999999999996,0.14963631429215934,0.32738599177934674,0.4481856908998318,0.6000116293528471,0.6994893465752288
0.04282304535156238,0.05699999999999996,0.14938888491109104,0.32718068627339747,0.4478531729285278,0.5994865485185471,0.6990540651263669
0.0426334910570843,0.05799999999999996,0.14914324324529973,0.32697502168754183,0.447525898679686,0.5989469556625175,0.6985984912353447
0.04245546316404254,0.05899999999999996,0.14889652470712086,0.3267670108321046,0.4472023350148263,0.5984183341546283,0.6981314830273515
0.04229094924498503,0.05999999999999996,0.14864608792088366,0.3265548433321873,0.44688434374619934,0.5979096137869008,0.697663808872625
0.0421409407122562,0.06099999999999996,0.14838958850133815,0.32633672289787663,0.44657265128651735,0.5974071364146231,0.6971895320367487
0.042008106009405854,0.06199999999999996,0.14812572441534946,0.32611440995539276,0.44626781984371194,0.5969029106939577,0.6967067144341921
0.04189221660633157,0.06299999999999996,0.14785385941569715,0.32589036022019224,0.44597044963777777,0.5963978051147141,0.6962237777232119
0.041793485194663985,0.06399999999999995,0.1475737386185106,0.32566639820564064,0.4456778726837135,0.5958821335379222,0.695739933249134
0.041710446981499984,0.06499999999999995,0.14728566322999967,0.3254423141357252,0.44538646716632735,0.595344688377066,0.6952485261022971
0.04164226958093114,0.06599999999999995,0.14698982431189417,0.3252174392781787,0.4450961718460586,0.5947949099998301,0.6947581700424855
0.04158530535929321,0.06699999999999995,0.14668697306519632,0.3249905029628716,0.44480617780188325,0.5942411368868855,0.6942763703391809
0.041536005553011554,0.06799999999999995,0.14637749317994353,0.3247596298335045,0.4445134516481957,0.5936800542433214,0.6937981192592886
0.041490988073576034,0.06899999999999995,0.14606302471792013,0.32452310238030074,0.44421713989408723,0.5931142378880766,0.6933162587232508
0.0414464846471631,0.06999999999999995,0.1457429703665077,0.324279062884054,0.4439206926202878,0.5925542740319452,0.6928315385048808
0.04139863440759283,0.07099999999999995,0.14541920266538833,0.32402442950174065,0.44362555886147437,0.5920007576823084,0.6923435528450552
0.04134307739389043,0.07199999999999994,0.14509153592018284,0.3237585568523113,0.4433304986987134,0.5914483689426397,0.6918489433015546
0.04127833964948722,0.07299999999999994,0.1447612372209232,0.32347957816574135,0.44303208306518044,0.5909067375537391,0.6913639983180356
0.04120199222200148,0.07399999999999994,0.1444283227701856,0.32318758838428424,0.44273158232182214,0.5903758794049752,0.6909015444649931
0.041113240243689904,0.07499999999999994,0.14409218187892983,0.32288621926940353,0.44243501387984424,0.589841447015208,0.6904608321643915
0.041011273290099015,0.07599999999999994,0.14375345986899066,0.3225770152660917,0.44214539356633387,0.589298315284049,0.6900446258987889
0.040898838915733746,0.07699999999999994,0.14341210179768552,0.32226268384485335,0.4418660829703505,0.5887512287432539,0.6896591977329148
0.040775976943170894,0.07799999999999994,0.14306712056377222,0.32194623699831565,0.44159913721055355,0.5881907098370556,0.689288906672467
0.04064413996365972,0.07899999999999993,0.14272070980139714,0.3216287387972431,0.4413479382792544,0.5876098379869052,0.6889175062581402
0.040505734144678125,0.07999999999999993,0.14237304591072553,0.3213078812809848,0.44111321225548755,0.5870237480198718,0.6885483239329263
0.04036055989737395,0.08099999999999993,0.14202516571780774,0.32098356254518184,0.4408970024453046,0.5864386467375793,0.6881853078886568
0.04021002567887658,0.08199999999999993,0.1416780857662775,0.32065725718815963,0.4406993741683241,0.5858322349323482,0.687809173726895
0.04005325026252531,0.08299999999999993,0.14133260118062818,0.32032734886222436,0.44051806492153894,0.5852042834679103,0.6874022120178792
0.03989196465416047,0.08399999999999994,0.1409885324517004,0.31999440874733287,0.440346645713741,0.5845885651903442,0.6869791927487752
0.039723853142530165,0.08499999999999994,0.14064638172506516,0.31965843637850705,0.44017493448104394,0.5840055586993622,0.6865466227542535
0.039550810155125946,0.08599999999999992,0.14030692199566705,0.3193198490053334,0.4400014902901932,0.583437068362738,0.6860828758125008
0.03937253973188354,0.08699999999999992,0.13996986864310396,0.31897863626707873,0.4398273207936063,0.5828706690763947,0.685580680565399
0.03918983235257806,0.08799999999999993,0.13963523787448842,0.3186335471854059,0.4396538329068934,0.582302108267613,0.6850516255741772
0.039004518096744364,0.08899999999999993,0.13930354089534994,0.31828181496073815,0.43948272935527605,0.5817243243298601,0.6844972816356235
0.038818394219025366,0.08999999999999993,0.13897520056208668,0.317919413907877,0.43931617268983914,0.5811213015425378,0.6838977965781528
0.0386334873111651,0.09099999999999993,0.1386485500820768,0.31754477948200116,0.43915373137707747,0.5805112247100146,0.683248796288388
0.03845180166595675,0.09199999999999993,0.13832277783547667,0.31715743270308683,0.4389947439245911,0.5799019599779082,0.6825606739496283
0.03827500370585549,0.09299999999999993,0.13799605777857427,0.31675928098369877,0.43883933188529417,0.5792899246096722,0.6818198651962815
0.03810389861019047,0.09399999999999993,0.13766656572663996,0.3163512704293491,0.4386842302662208,0.5786682541729222,0.6810165447867582
0.0379402163050644,0.09499999999999992,0.13733217535462705,0.3159358007947977,0.43852492060649356,0.5780520798246912,0.6801623398923002
0.03778490838918671,0.09599999999999992,0.1369921023345925,0.3155170180633349,0.43836103422156064,0.577436973383781,0.6792667448644082
0.037638449934888664,0.09699999999999992,0.1366435879908023,0.31510003878231785,0.4381950701861286,0.5767980178318991,0.678324582149399
0.03750184957902983,0.09799999999999992,0.1362850645995247,0.3146883927367249,0.4380274389339656,0.5761409810074828,0.6773776054464798
0.03737451085712907,0.09899999999999992,0.13591618261561567,0.3142829102708391,0.4378604733389988,0.575481815026561,0.676447882340359
0.03725593762406246,0.09999999999999992,0.1355368596043364,0.3138817014928151,0.437697225990484,0.5748426867198865,0.6755292911458312
0.037146401933927514,0.10099999999999992,0.13514761981819892,0.31348501450370414,0.4375381139150878,0.5742283271598353,0.6746195883324633
0.03704396431356122,0.10199999999999991,0.1347490929808019,0.3130938207169415,0.4373851121106482,0.5736380261022616,0.6737299474369797
0.036949175917578646,0.10299999999999991,0.13434275951953265,0.31270759216600685,0.43724024593350064,0.5730569739813401,0.6728302643812494
0.03686165709165405,0.10399999999999991,0.13393036854734844,0.31232545253826205,0.43710436535530867,0.572477282269041,0.6718907899729485
0.036781259105925994,0.10499999999999991,0.1335132955668043,0.31194698123055553,0.4369776344060568,0.5719121527573773,0.6709179807726992
0.036709116048257356,0.10599999999999991,0.13309398805147873,0.3115715417288175,0.43686001259623636,0.5713720566696623,0.6699226899782965
0.03664495347948298,0.10699999999999991,0.13267338158106795,0.31119787068571503,0.4367477882768245,0.5708572701197538,0.6688811397529747
0.036590005985711785,0.10799999999999992,0.132252884151971,0.31082703307370496,0.43664071830528106,0.5703575131263294,0.6677734489726672
0.036543944559157555,0.10899999999999992,0.13183369263061645,0.3104588262946072,0.4365347181403818,0.5698756573175042,0.6666295558691373
0.03650730969544223,0.10999999999999992,0.13141486975836222,0.3100958781823564,0.43642142534494743,0.5694132668687909,0.6654601200030059
0.03647922954443013,0.1109999999999999,0.13099743349042264,0.30974004809165545,0.4362974539926965,0.5689718682765479,0.6642346252981867
0.036459134848301836,0.1119999999999999,0.130580648694967,0.3093888579268178,0.4361634531102981,0.568555795918637,0.6629397337508736
0.03644589220162246,0.1129999999999999,0.13016428183153533,0.3090420996170954,0.436020769803454,0.5681727337068394,0.6616178971823686
0.03643645956681938,0.11399999999999991,0.12974913576084696,0.30869780256988494,0.43586992990967977,0.5678179166528342,0.6602921914231896
0.03642952115590477,0.11499999999999991,0.12933512886518594,0.3083520213554403,0.4357149156485607,0.5674819066493152,0.6589427401699772
0.036421462525569735,0.11599999999999991,0.128923128414505,0.30800161858877184,0.43555447204338527,0.5671662670242271,0.6575747273731258
0.036410567044445334,0.11699999999999991,0.12851453861125745,0.30765003678498115,0.4353799185630164,0.5668777435775776,0.6562283410310933
0.036393788402193365,0.1179999999999999,0.12811058670612238,0.3073012324992398,0.43518592964203456,0.5666110103414753,0.6549151665053153
0.03636913241788609,0.1189999999999999,0.12771192306733148,0.3069541742311938,0.4349712407738278,0.5663586906488571,0.6536226530710715
0.036335042426860184,0.1199999999999999,0.12732087484080928,0.30660639862450484,0.4347315992702567,0.5661164212100578,0.6523529957488767
0.036290201620517056,0.1209999999999999,0.126937068354136,0.3062563894742296,0.43446281759444894,0.5658939427615461,0.6511299727097585
0.03623514667170876,0.1219999999999999,0.12656144867457217,0.3059043993031291,0.4341670989467256,0.5656872140016829,0.6499334546336029
0.036168624346182586,0.1229999999999999,0.12619192055696107,0.30554970761919137,0.4338460276975048,0.5654789635500538,0.6487310422738019
0.03609240434252741,0.1239999999999999,0.12582668374482603,0.3051908081974362,0.4334995795544563,0.5652599870297491,0.6475238482047936
