u,redshift,g,r,i,z,Y
0.0045000879244142524,0.01,0.015390331077281749,0.0427075472255925,0.07669978908510662,0.12434560830566299,0.1547368020112622
0.004477327487993679,0.011,0.015342546733036842,0.04262636776631596,0.07658370474983825,0.12407938398255035,0.15448838328585468
0.004453643216093995,0.011999999999999999,0.015295149345415883,0.04254359662807506,0.07646816352367257,0.12381255586090317,0.15423811760571252
0.004429144946822688,0.012999999999999998,0.015248019723499021,0.04245934281638252,0.07635268333487562,0.12354470273373111,0.15398579757656375
0.004403887334049999,0.013999999999999997,0.015200903146851519,0.04237372013165437,0.07623620569481473,0.12327442774421019,0.1537325887875774
0.004377996140269228,0.014999999999999996,0.015153719574557733,0.04228724345690592,0.0761175901842356,0.12300374023638015,0.1534809289864028
0.004351460991835975,0.015999999999999993,0.015106339072279682,0.042200330206535915,0.07599628715130069,0.12273448498355663,0.15323324030121513
0.004324280862735896,0.016999999999999994,0.015058582315228821,0.04211319425995801,0.07587184670608807,0.12246666647356554,0.15298850773218142
0.00429657373472906,0.017999999999999995,0.015010540774385451,0.04202622438707494,0.07574458324515969,0.1222021147130839,0.1527470555110153
0.004268347785730093,0.018999999999999993,0.014962267007572439,0.041939606484577396,0.07561599480822923,0.12194393707841002,0.15250736616313285
0.0042396585077235415,0.01999999999999999,0.014913922571734232,0.04185325384914891,0.07548694634274372,0.12169359809608166,0.15226726718744277
0.0042108845319153146,0.02099999999999999,0.014865720902587354,0.04176738103834749,0.07535676535305194,0.12145001121988173,0.15202563598295787
0.004182234546453036,0.021999999999999992,0.014817780513160161,0.04168226092735548,0.07522488720608696,0.1212119627262142,0.15178157748565496
0.004153903503185113,0.02299999999999999,0.014770272464792327,0.041597726027737585,0.07509213765820179,0.12097714472616121,0.15153394360822853
0.004126161074252282,0.023999999999999987,0.014723348679133148,0.041513007892468395,0.07495973690360815,0.12074259344934975,0.15128383402724238
0.004099105902933052,0.024999999999999988,0.014676882205722552,0.04142788015427106,0.07482758696591044,0.12050822060556872,0.15103257929276562
0.004072663110992985,0.02599999999999999,0.014630712541371715,0.04134259218704801,0.07469437698583489,0.12027529605976052,0.1507794360750718
0.004046692463232533,0.02699999999999999,0.014584655033335892,0.04125724151194001,0.0745592072872557,0.12004341303279194,0.150523803803668
0.004020796739271687,0.027999999999999983,0.014538380532568153,0.04117197277305991,0.07442181337950733,0.11981400567231429,0.15026795934560921
0.003994658329002333,0.028999999999999984,0.014491728064250937,0.041087083755366516,0.07428167441467391,0.11958845531792178,0.15001553852771193
0.003967974497755796,0.029999999999999985,0.01444475840734883,0.041002587898208785,0.07413854479359021,0.11936584712881824,0.1497671710306076
0.0039406301041073205,0.030999999999999986,0.014397518215044095,0.04091821127330356,0.07399259249004486,0.11914539720424769,0.14952427738009758
0.003912637537093202,0.03199999999999998,0.01435025655154293,0.040833732100814826,0.073844336045274,0.11892868633234774,0.14929200617108188
0.00388424146757554,0.03299999999999998,0.014303248292700022,0.04074937537083405,0.07369427572333823,0.1187162373936742,0.14907227327627462
