u,redshift,g,r,i,z,Y
0.03908813774955795,0.01,0.061058343341733844,0.07234233862365141,0.080181843351191,0.0876304748578698,0.0902397156282324
0.038938991335011025,0.011,0.061074617240338046,0.07237699307101958,0.08022885229390278,0.08767494357209796,0.09031980898641548
0.03877414532903057,0.011999999999999999,0.06109130145833809,0.07241083603701295,0.08027597693286619,0.08771618249489846,0.09040025794225934
0.03859584181314184,0.012999999999999998,0.061108035300758666,0.07244408730164818,0.08032318566700594,0.08775181939188582,0.09047865582367581
0.03840592245756346,0.013999999999999997,0.061123944748446575,0.07247669439289921,0.0803702595843162,0.08778060392657296,0.09055647480862193
0.038207028120903784,0.014999999999999996,0.061138631203921656,0.07250891936529553,0.08041683932727757,0.08780531901019112,0.09063557788529725
0.038001387903084924,0.015999999999999993,0.06115147078550946,0.0725409913099015,0.0804629701757736,0.08782864771424237,0.09071652110152711
0.03779124527348761,0.016999999999999994,0.061161974457095945,0.07257282445962272,0.08050877799334631,0.08785067443255233,0.09079775572194553
0.037579649260808735,0.017999999999999995,0.061170749150751644,0.07260467673711574,0.08055428113274238,0.08787342488612343,0.0908802844407645
0.037368885536685034,0.018999999999999993,0.06117801920375946,0.07263647513432211,0.08059995197704953,0.08789993023443848,0.09096287546743961
0.03716110505550679,0.01999999999999999,0.061184478284985876,0.07266812973398136,0.08064596419884129,0.08793232586448377,0.09104436616996824
0.036960281245876275,0.02099999999999999,0.061191158920957105,0.07269974795831981,0.08069185918303107,0.08796934775154311,0.09112275420492136
0.03676840253769467,0.021999999999999992,0.061198618733066056,0.07273144756386363,0.0807371159494328,0.08800949156601653,0.09119697763219407
0.036585618849306695,0.02299999999999999,0.0612073701609026,0.07276323058397167,0.08078204870167416,0.08805070158591877,0.09126632597669078
0.03641231567635795,0.023999999999999987,0.06121784278973254,0.07279466796423262,0.0808274271969269,0.08809122389588528,0.091332014219032
0.03624733744171121,0.024999999999999988,0.06122946992892754,0.07282573462366645,0.08087330447604216,0.08812987559133431,0.09139284404121714
0.03608808379768666,0.02599999999999999,0.06124163015106259,0.07285659490546312,0.0809190738021569,0.08816808724855234,0.09144690071874122
0.0359316204799906,0.02699999999999999,0.06125373006407017,0.07288725803867091,0.08096437028489346,0.08820571628361161,0.09149230005772455
