u,redshift,g,r,i,z,Y
0.03583199148168242,0.01,0.07747530428839822,0.1292515684966382,0.17170788651047797,0.22694271533046548,0.25986189105382557
0.03571687909442192,0.011,0.07738392944627363,0.1292105324362062,0.17167901160700633,0.2267140270419953,0.2597193766168774
0.03559361740389908,0.011999999999999999,0.07729395965968923,0.12916493486704964,0.17165139820982958,0.22648367813435816,0.2595732434927334
0.03546320506449157,0.012999999999999998,0.07720489476626409,0.12911507570038586,0.17162398124728892,0.22625066733842167,0.2594228440827369
0.03532613169008514,0.013999999999999997,0.0771154719232902,0.1290612373740862,0.17159452801915986,0.226012303405014,0.25927042097641345
0.0351834487262411,0.014999999999999996,0.07702519314659807,0.12900478537312302,0.17156055768960937,0.22577246623727745,0.2591205539698821
0.03503531830263758,0.015999999999999993,0.0769332770568681,0.12894683313474106,0.17152086239331485,0.22553456250855194,0.2589774980474364
0.034881955275792076,0.016999999999999994,0.07683878494499198,0.1288878985714729,0.17147451585933085,0.22529843243127587,0.25883929078840173
0.034724466822280996,0.017999999999999995,0.07674224756358092,0.12882900928122099,0.17142212841608076,0.22506740505897171,0.25870662914677367
0.03456314934898945,0.018999999999999993,0.07664385076266456,0.12877060232867865,0.17136672700429478,0.2248475037695439,0.2585768001289546
0.03439861793642054,0.01999999999999999,0.07654447905311068,0.12871240265017547,0.17131006433625706,0.22464185582136315,0.25844592398500615
0.03423381761163314,0.02099999999999999,0.0764452994777295,0.12865496653433037,0.17125082430238708,0.22444856732668514,0.2583117218381698
0.03407033808309785,0.021999999999999992,0.0763469518184146,0.1285989408292537,0.17118785423810542,0.22426540205924908,0.25817230714824124
0.03390944154554434,0.02299999999999999,0.0762502462258807,0.128543858783477,0.17112290725675153,0.22408803682727207,0.25802553318731947
0.033752848994395686,0.023999999999999987,0.07615587721966742,0.12848763743115638,0.17105858290884346,0.22391091821698603,0.25787347619065604
0.03360100366914496,0.024999999999999988,0.07606313731330343,0.12842963248251732,0.1709945890593454,0.22373389146992823,0.2577182609531844
0.033453085838567584,0.02599999999999999,0.07597121726502126,0.12837050970057215,0.17092790141759961,0.22355947044896607,0.2575583107705184
0.03330773506951999,0.02699999999999999,0.07587924528221046,0.12831051478961847,0.17085643159110422,0.22338693991279637,0.2573925464926174
0.033161767999195776,0.027999999999999983,0.07578575069975857,0.12825003898018833,0.170779632342572,0.22321880434074481,0.25722513276448294
0.03301269327113086,0.028999999999999984,0.07569000082601153,0.1281898995538618,0.17069643990747965,0.22305738661208632,0.25706271301920636
0.03285812695281827,0.029999999999999985,0.07559212712254758,0.12813015808656414,0.1706064381835895,0.22290109042239606,0.256906583868228
0.03269710408521029,0.030999999999999986,0.07549216278531393,0.1280701537734205,0.17051016929411764,0.22274849180655298,0.25675953817661873
0.032529678211043925,0.03199999999999998,0.07539106901986688,0.12800929166888003,0.1704088007486574,0.22260234727302108,0.25663143855116094
0.03235774574444721,0.03299999999999998,0.0752898372410688,0.1279481868924986,0.17030341941035018,0.22246351790381047,0.2565258833444032
0.032183498954541416,0.03399999999999998,0.07518960873267483,0.12788702433064636,0.1701953984381623,0.22232837352283324,0.25644051694626124
0.03200998289049583,0.03499999999999998,0.07509131552048891,0.12782596238929353,0.17008616307607197,0.22219676669955488,0.2563770928846065
