u,redshift,g,r,i,z,Y
22.923252960125804,0.01,44.05373520370166,67.70792712426231,79.66748837637113,84.11651362961437,88.43908217175614
22.860795140867996,0.011,44.01268992326225,67.69371812419575,79.7106658263015,84.16294174057937,88.42758757803738
22.799265428793923,0.011999999999999999,43.97281188493338,67.67923581446568,79.75357460251668,84.20989176548363,88.41712643377545
22.738415987870322,0.012999999999999998,43.93412896613539,67.6644952380578,79.79622039925424,84.25730629077385,88.40763034710223
22.677906128718668,0.013999999999999997,43.896647398540836,67.64950834963177,79.8386314246193,84.30514312463839,88.39909931626161
22.617382560410082,0.014999999999999996,43.86037386449891,67.63428732052517,79.88083164637233,84.35337054861567,88.39155543689589
22.556411454574985,0.015999999999999993,43.82527683004872,67.61885821044454,79.92281343842828,84.40195621681178,88.3849434184217
22.494759564281654,0.016999999999999994,43.79119157572483,67.6032396137263,79.96456025410586,84.45088467822059,88.37924508851195
22.432249949917086,0.017999999999999995,43.75793460876762,67.58745874617816,80.00606967692329,84.50014737994938,88.37443887367628
22.368706728603975,0.018999999999999993,43.72532374843494,67.57153939024688,80.0473229402342,84.54973851275696,88.37051199832466
22.303975427677308,0.01999999999999999,43.69319489534209,67.5555324270171,80.08827519444917,84.59966019851545,88.367520034578
22.238158400398195,0.02099999999999999,43.66137928263093,67.5394934351861,80.12890586335213,84.64992107761901,88.36551544119962
22.171302665597505,0.021999999999999992,43.62974739054131,67.52348088105703,80.16922437624078,84.7005342019481,88.36459555201522
22.103491015284423,0.02299999999999999,43.59815300363996,67.50755969767162,80.2092311574883,84.75150300505287,88.36488692741126
22.034796334107757,0.023999999999999987,43.56646358770629,67.49181598580392,80.24892557183625,84.80283578498064,88.36641569269271
21.965400762316637,0.024999999999999988,43.53454370422392,67.47633473530952,80.28834298578951,84.85453980226801,88.36925859319065
21.89542461912075,0.02599999999999999,43.502247890673324,67.46120202970599,80.32751717827948,84.90661374170125,88.37348931920263
21.824989629435855,0.02699999999999999,43.46943956034521,67.4464756996334,80.36645003463875,84.95906306945828,88.37915681942118
21.754205944480958,0.027999999999999983,43.43604239765076,67.43217598919904,80.40512943462282,85.01189519875165,88.38630334937984
21.683161565869398,0.028999999999999984,43.40199656708157,67.4183374472802,80.4435570466063,85.06510294037436,88.39491326856964
21.612062969005187,0.029999999999999985,43.367260045537414,67.4049676450673,80.48171685353061,85.11868714679582,88.40491709471134
21.540917643821583,0.030999999999999986,43.331816361120396,67.39205658570113,80.51956582500006,85.17263545437108,88.41609352170413
21.470014578345832,0.03199999999999998,43.295724601330946,67.37955672049827,80.55708287888669,85.22693286966171,88.42820686154813
21.399595221333133,0.03299999999999998,43.2590911172023,67.36743860045529,80.59426619841793,85.28155620645776,88.44114938512081
21.3297239433439,0.03399999999999998,43.222020489311,67.35564880259086,80.63111642945097,85.3364791748413,88.45490499247688
