u,redshift,g,r,i,z,Y
44.14556483974509,0.01,37.09243352921576,25.946747683975296,20.424905251244333,16.8098745677644,15.368072955036212
44.171754913083554,0.011,37.17755632836163,26.001345277981013,20.47106287216234,16.843428437758853,15.405210102894468
44.18781963846587,0.011999999999999999,37.26317121533314,26.056435841393892,20.5176027130272,16.878877026177015,15.442571400320077
44.19962032999923,0.012999999999999998,37.34940937174169,26.111555376804382,20.564435030611214,16.91324014568582,15.479339911909262
44.2075505515257,0.013999999999999997,37.4362936474348,26.166743948437933,20.611740316930714,16.948417949799953,15.516097832060037
44.21396135585758,0.014999999999999996,37.52289194725086,26.221987605351508,20.659214072804584,16.982629199172326,15.553310646226457
44.21539648748843,0.015999999999999993,37.607976045160534,26.277395005402486,20.7060805905879,17.017170186530056,15.591295576282587
44.21137464725102,0.016999999999999994,37.69045741899012,26.33277796613358,20.75359939711874,17.04928304557358,15.629550928955325
44.207486993953005,0.017999999999999995,37.77185392872005,26.388266256356804,20.801698042469454,17.08177619877783,15.667586846439452
44.20273515796952,0.018999999999999993,37.853064704605856,26.443954319760806,20.849059805544194,17.115223512425718,15.706381597036351
44.19809843621506,0.01999999999999999,37.93372948281971,26.499487861864818,20.89602574328846,17.14777301883851,15.743913490164282
44.19738850678894,0.02099999999999999,38.01332637563092,26.5552309752505,20.943782850707407,17.183924227621084,15.781811482996043
44.20806780449298,0.021999999999999992,38.0934438570034,26.61113472813276,20.991529972037437,17.21825689186037,15.818504391402069
44.226142197384235,0.02299999999999999,38.17386763240929,26.667099298228827,21.03947725282356,17.252847929274353,15.852809451663353
44.250455890288656,0.023999999999999987,38.25620808408997,26.722995518419406,21.087547770994973,17.286806395959964,15.891880786501165
44.28305922215348,0.024999999999999988,38.3407496562081,26.778890923918148,21.135702013868737,17.31979863120133,15.92879187793771
44.31789249691991,0.02599999999999999,38.42488024473757,26.83486507155412,21.183517305321836,17.35245984759284,15.969027356322606
44.361520531777906,0.02699999999999999,38.508391893064115,26.890867830475425,21.23114924930998,17.3855020759414,16.008620813989932
44.40681238069031,0.027999999999999983,38.59214812932308,26.94773774255887,21.279426668566796,17.419068987194006,16.049192952463905
44.447702289133964,0.028999999999999984,38.676662799597295,27.00499717438551,21.327901915848255,17.450348455187832,16.08971538369194
44.48451614126033,0.029999999999999985,38.75989619680447,27.06112553094937,21.376548796993895,17.484162357126948,16.126343042900064
44.52008599357495,0.030999999999999986,38.84134785258131,27.116544857776287,21.425125913350165,17.519014273701536,16.164622616924458
44.54280880623767,0.03199999999999998,38.920999870194635,27.17271727716079,21.474320009907096,17.554204000010344,16.20348306176866
44.56180710879785,0.03299999999999998,38.99985131739196,27.22847181855877,21.523947507609716,17.589330308891167,16.241081623665277
44.57589272096083,0.03399999999999998,39.07876315321463,27.2841380014102,21.573260772191468,17.625729336135958,16.279494654184994
44.5924432963479,0.03499999999999998,39.15730590760022,27.34001188309051,21.62243590185421,17.661683090248214,16.3187964819176
44.61367504344558,0.035999999999999976,39.236203313446175,27.395605898358486,21.671958982144343,17.700370946307572,16.359903343175517
44.63944755794424,0.03699999999999998,39.31643787356796,27.451474557704444,21.72185628822014,17.734897459156546,16.393971053675823
44.666572415545225,0.03799999999999998,39.39794850899035,27.507245704527627,21.77311109837564,17.77164390894269,16.43387128775636
44.69613835334508,0.03899999999999998,39.4813751283512,27.563127072560903,21.824926322113416,17.804926775734547,16.46857039455439
44.737899384036695,0.03999999999999997,39.56456133769746,27.618737820407418,21.87818700001536,17.839493900626383,16.506562328563653
44.78384513573941,0.040999999999999974,39.64456926074761,27.67426411278938,21.931756274539808,17.869062174726505,16.53984326564714
44.83606847721298,0.041999999999999975,39.72292660718243,27.730011464154465,21.98478571310986,17.89957221231526,16.57456994681036
44.884206455404076,0.042999999999999976,39.801899035514964,27.785345714435035,22.03785031405774,17.93232671007934,16.61197031275361
44.932717419912954,0.04399999999999998,39.88118113489465,27.841343307028673,22.09213690968876,17.967246938193902,16.64816631270655
44.98360534607834,0.04499999999999997,39.96095533515172,27.897655656202904,22.145795839264405,18.004159182315743,16.685510320952147
45.03522849441258,0.04599999999999997,40.040418668370755,27.955368149956946,22.19832827194946,18.04479919800901,16.723108975528312
45.0816378409571,0.04699999999999997,40.1186360096375,28.01481755800923,22.250189704661977,18.085275880396498,16.760506894313274
45.1262174712597,0.047999999999999966,40.19684144488053,28.071373020412633,22.302996057720033,18.12454197084472,16.79744309730867
45.17117099224158,0.04899999999999997,40.276216142529485,28.124601600108775,22.356106659312193,18.16388048848451,16.831959778586583
